 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Ago/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110080 Candeias do Jamari";136;136;229625,41;190926,09;-;-;38699,32;-;-;1688,42;1688,42;816;6,0;9;6,62
"110090 Castanheiras";11;11;15361,62;12728,88;-;-;2632,74;-;-;1396,51;1396,51;33;3,0;-;-
"110005 Cerejeiras";84;84;64604,41;49656,80;-;-;14947,61;-;-;769,10;769,10;392;4,7;3;3,57
"110092 Chupinguaia";40;40;49163,74;38559,41;-;-;10604,33;-;-;1229,09;1229,09;165;4,1;2;5,00
"110006 Colorado do Oeste";67;67;112584,81;94087,04;-;-;18497,77;-;-;1680,37;1680,37;263;3,9;2;2,99
"110007 Corumbiara";12;12;9728,55;6829,61;-;-;2898,94;-;-;810,71;810,71;46;3,8;1;8,33
"110008 Costa Marques";15;15;8857,82;6107,81;-;-;2750,01;-;-;590,52;590,52;29;1,9;-;-
"110094 Cujubim";100;100;135619,51;107031,54;-;-;28587,97;-;-;1356,20;1356,20;289;2,9;3;3,00
"110009 Espigão D'Oeste";157;157;82490,10;68202,85;-;-;14287,25;-;-;525,41;525,41;490;3,1;4;2,55
"110100 Governador Jorge Teixeira";20;20;11421,91;8555,54;-;-;2866,37;-;-;571,10;571,10;81;4,0;1;5,00
"110010 Guajará-Mirim";292;292;470369,00;393850,22;-;-;76518,78;-;-;1610,85;1610,85;1785;6,1;16;5,48
"110110 Itapuã do Oeste";36;36;90381,57;77684,94;-;-;12696,63;-;-;2510,60;2510,60;203;5,6;3;8,33
"110011 Jaru";258;258;319033,53;251702,77;-;-;67330,76;-;-;1236,56;1236,56;943;3,7;17;6,59
"110012 Ji-Paraná";504;504;635106,53;508642,04;-;-;126464,49;-;-;1260,13;1260,13;1805;3,6;28;5,56
"110013 Machadinho D'Oeste";153;153;138874,64;113306,18;-;-;25568,46;-;-;907,68;907,68;589;3,8;3;1,96
"110120 Ministro Andreazza";28;28;51088,25;43421,96;-;-;7666,29;-;-;1824,58;1824,58;200;7,1;2;7,14
"110130 Mirante da Serra";26;26;36101,85;29779,27;-;-;6322,58;-;-;1388,53;1388,53;141;5,4;2;7,69
"110140 Monte Negro";73;73;106882,48;86426,14;-;-;20456,34;-;-;1464,14;1464,14;273;3,7;1;1,37
"110014 Nova Brasilândia D'Oeste";81;81;72603,91;56759,98;-;-;15843,93;-;-;896,34;896,34;285;3,5;5;6,17
"110033 Nova Mamoré";141;141;174934,14;145629,97;-;-;29304,17;-;-;1240,67;1240,67;701;5,0;6;4,26
"110143 Nova União";8;8;19639,41;16486,73;-;-;3152,68;-;-;2454,93;2454,93;37;4,6;2;25,00
"110050 Novo Horizonte do Oeste";33;33;28293,57;21663,14;-;-;6630,43;-;-;857,38;857,38;151;4,6;1;3,03
"110015 Ouro Preto do Oeste";52;52;71092,48;53220,81;-;-;17871,67;-;-;1367,16;1367,16;418;8,0;1;1,92
"110145 Parecis";15;15;2889,33;1920,41;-;-;968,92;-;-;192,62;192,62;21;1,4;-;-
